nm,VNIR_B1,VNIR_B2,VNIR_B3N,VNIR_B3B,SWIR_B4,SWIR_B5,SWIR_B6,SWIR_B7,SWIR_B8,SWIR_B9
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.604,0.0
2302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.702,0.0
2305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.833,0.0
2308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.971,0.0
2310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.988,0.0
2312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.955,0.0
2315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.98,0.0
2318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.977,0.0
2320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.975,0.008
2322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972,0.0
2325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0
2326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209,0.0,0.0
2328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967,0.0
2330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947,0.012
2332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168,0.962,0.0
2335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977,0.0
