WL_nm,CoastalBlue,Blue,Green_i,Green_ii,Yellow,Red,RedEdge,NIR
599,0.0000,0.0007,0.0000,0.0002,0.2750,0.0000,0.0000,0.0000
600,0.0000,0.0007,0.0000,0.0002,0.5529,0.0000,0.0000,0.0000
601,0.0000,0.0007,0.0000,0.0000,0.8912,0.0000,0.0000,0.0000
602,0.0000,0.0007,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
603,0.0000,0.0007,0.0000,0.0000,0.9957,0.0000,0.0000,0.0000
604,0.0000,0.0007,0.0000,0.0000,0.9970,0.0000,0.0000,0.0000
605,0.0000,0.0007,0.0000,0.0000,0.9945,0.0000,0.0000,0.0000
606,0.0000,0.0007,0.0000,0.0000,0.9875,0.0000,0.0000,0.0000
607,0.0000,0.0007,0.0000,0.0000,0.9857,0.0000,0.0000,0.0000
608,0.0000,0.0009,0.0000,0.0000,0.9872,0.0000,0.0000,0.0000
609,0.0000,0.0009,0.0000,0.0000,0.9872,0.0000,0.0000,0.0000
610,0.0000,0.0009,0.0000,0.0000,0.9855,0.0000,0.0000,0.0000
611,0.0000,0.0009,0.0000,0.0000,0.9832,0.0000,0.0000,0.0000
612,0.0000,0.0009,0.0000,0.0000,0.9807,0.0000,0.0000,0.0000
613,0.0000,0.0009,0.0000,0.0000,0.9785,0.0000,0.0000,0.0000
614,0.0000,0.0009,0.0000,0.0000,0.9757,0.0000,0.0000,0.0000
615,0.0000,0.0009,0.0000,0.0000,0.9717,0.0000,0.0000,0.0000
616,0.0000,0.0009,0.0000,0.0000,0.9665,0.0000,0.0000,0.0000
617,0.0000,0.0009,0.0000,0.0000,0.9652,0.0000,0.0000,0.0000
618,0.0000,0.0009,0.0000,0.0000,0.9687,0.0000,0.0000,0.0000
619,0.0000,0.0009,0.0000,0.0000,0.9652,0.0000,0.0000,0.0000
620,0.0000,0.0009,0.0000,0.0000,0.9547,0.0000,0.0000,0.0000
621,0.0000,0.0009,0.0000,0.0000,0.9662,0.0000,0.0000,0.0000
622,0.0000,0.0009,0.0000,0.0000,0.9452,0.0000,0.0000,0.0000
623,0.0000,0.0009,0.0000,0.0000,0.6685,0.0000,0.0000,0.0000
624,0.0000,0.0009,0.0000,0.0000,0.3365,0.0000,0.0000,0.0000
625,0.0000,0.0009,0.0000,0.0000,0.1714,0.0000,0.0000,0.0000
626,0.0000,0.0009,0.0000,0.0000,0.0913,0.0000,0.0000,0.0000
627,0.0000,0.0009,0.0000,0.0000,0.0385,0.0000,0.0000,0.0000
628,0.0000,0.0009,0.0000,0.0000,0.0128,0.0000,0.0000,0.0000
629,0.0000,0.0009,0.0000,0.0000,0.0043,0.0000,0.0000,0.0000
630,0.0000,0.0009,0.0000,0.0000,0.0018,0.0000,0.0000,0.0000
631,0.0000,0.0009,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000
632,0.0000,0.0009,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000
633,0.0000,0.0009,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000
634,0.0000,0.0009,0.0000,0.0000,0.0003,0.0019,0.0000,0.0000
635,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
636,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
637,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
638,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
639,0.0000,0.0009,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000
640,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
641,0.0000,0.0009,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000
642,0.0000,0.0009,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000
643,0.0000,0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000
